GlyphName,persianLetterName
zero,0
one,1
two,2
three,3
four,4
five,5
six,6
seven,7
eight,8
nine,9
Baghlan,BAG
Bamyan,BAM
Badghis,BDG
Badakhshan,BDN
Balkh,BLH
Daykundi,DYK
Farah,FRH
Faryab,FYB
Ghazni,GAZ
Ghor,GHR
Helmand,HEL
Herat,HRT
Jowzjan,JZJ
Kabul,KBL
Kandahar,KDR
Kunduz,KDZ
Kunar,KNR
Kapisa,KPS
Khost,KST
Laghman,LGM
Logar,LGR
Nangarhar,NGR
Nimruz,NRZ
Nuristan,NUR
Urozgan,ORZ
Paktia,PAK
Parwan,PARN
Panjshir,PJR
Paktika,PKT
Samangan,SAM
Sar-e Pol,SRP
Takhar,TAK
Wardak,WDK
Zabul,ZBL
